strategie;session;nbtirage;gain;pot;max
S2CNotLast;131;150;0;197;206
S2C6NStatic;131;150;0;203;232
S2C6NStaticMart;131;120;0;1;222
SMourad1;131;150;0;464;665
S2CStatic;132;150;0;182;203
S2CNotLast;132;150;0;221;233
S2C6NStatic;132;150;0;146;258
S2C6NStaticMart;132;150;0;7;320
SMourad1;132;150;0;89;521
S2CStatic;133;150;0;185;200
S2CNotLast;133;150;0;212;216
S2C6NStatic;133;150;0;233;242
S2C6NStaticMart;133;55;0;1;200
SMourad1;133;34;0;2;200
S2CStatic;134;150;0;200;207
S2CNotLast;134;150;0;191;207
S2C6NStatic;134;150;0;308;308
S2C6NStaticMart;134;14;0;355;355
SMourad1;134;34;0;2;200
S2CStatic;135;150;0;170;201
S2CNotLast;135;150;0;170;210
S2C6NStatic;135;150;0;86;212
S2C6NStaticMart;135;84;0;0;208
SMourad1;135;95;0;2;440
S2CStatic;136;150;0;164;204
S2CNotLast;136;150;0;194;202
S2C6NStatic;136;145;0;8;208
S2C6NStaticMart;136;63;0;0;232
SMourad1;136;150;0;1565;1565
S2CStatic;137;150;0;191;212
S2CNotLast;137;150;0;191;210
S2C6NStatic;137;150;0;209;229
S2C6NStaticMart;137;150;0;11;347
SMourad1;137;43;0;2;200
S2CStatic;138;150;0;191;204
S2CNotLast;138;150;0;218;218
S2C6NStatic;138;150;0;209;285
S2C6NStaticMart;138;27;0;352;352
SMourad1;138;150;0;1046;1130
S2CStatic;139;150;0;185;212
S2CNotLast;139;150;0;206;211
S2C6NStatic;139;150;0;89;247
S2C6NStaticMart;139;21;0;356;356
SMourad1;139;79;0;2;254
S2CStatic;140;150;0;140;210
S2CNotLast;140;150;0;182;208
S2C6NStatic;140;135;0;6;211
S2C6NStaticMart;140;87;0;1;290
SMourad1;140;150;0;296;437
S2CStatic;141;150;0;194;205
S2CNotLast;141;150;0;179;202
S2C6NStatic;141;150;0;152;222
S2C6NStaticMart;141;150;0;5;280
SMourad1;141;150;0;1280;1325
S2CStatic;142;150;0;182;201
S2CNotLast;142;150;0;188;205
S2C6NStatic;142;150;0;146;216
S2C6NStaticMart;142;37;0;0;206
SMourad1;142;150;0;161;641
S2CStatic;143;150;0;173;208
S2CNotLast;143;150;0;194;221
S2C6NStatic;143;150;0;155;225
S2C6NStaticMart;143;93;0;0;338
SMourad1;143;103;0;2;371
S2CStatic;144;150;0;209;220
S2CNotLast;144;150;0;167;205
S2C6NStatic;144;150;0;209;237
S2C6NStaticMart;144;75;0;351;351
SMourad1;144;129;0;2;536
S2CStatic;145;150;0;188;204
S2CNotLast;145;150;0;215;224
S2C6NStatic;145;150;0;140;215
S2C6NStaticMart;145;63;0;1;252
SMourad1;145;78;0;2;245
S2CStatic;146;150;0;161;213
S2CNotLast;146;150;0;167;205
S2C6NStatic;146;150;0;185;252
S2C6NStaticMart;146;31;0;351;351
SMourad1;146;85;0;2;536
S2CStatic;147;150;0;203;206
S2CNotLast;147;150;0;215;218
S2C6NStatic;147;150;0;197;249
S2C6NStaticMart;147;150;0;45;242
SMourad1;147;150;0;1931;1961
S2CStatic;148;150;0;176;203
S2CNotLast;148;150;0;197;210
S2C6NStatic;148;150;0;98;217
S2C6NStaticMart;148;110;0;0;261
SMourad1;148;34;0;2;206
S2CStatic;149;150;0;161;201
S2CNotLast;149;150;0;200;217
S2C6NStatic;149;150;0;185;216
S2C6NStaticMart;149;67;0;1;204
SMourad1;149;36;0;2;233
S2CStatic;150;150;0;218;222
S2CNotLast;150;150;0;197;210
S2C6NStatic;150;150;0;182;251
S2C6NStaticMart;150;35;0;364;364
SMourad1;150;63;0;2;302
S2CStatic;151;150;0;173;200
S2CNotLast;151;150;0;203;215
S2C6NStatic;151;150;0;155;231
S2C6NStaticMart;151;150;0;7;211
SMourad1;151;150;0;767;902
S2CStatic;152;150;0;191;206
S2CNotLast;152;150;0;161;204
S2C6NStatic;152;150;0;173;262
S2C6NStaticMart;152;84;0;365;365
SMourad1;152;42;0;2;230
S2CStatic;153;150;0;203;212
S2CNotLast;153;150;0;182;201
